store,category,name,price,product_link,common_category,product-link,image_url
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN MAGIC TASTE SAUNF 150GM,Rs.425,https://alfatah.pk/products/maizban-magic-taste-saunf-150gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,PATIENCE ORGANIC CRANBERRIES 113GM,"Rs.2,895",https://alfatah.pk/products/patience-organic-cranberries-113gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,SHAHI MEVA MIXED DRY FRUITS 216 GM,Rs.240,https://alfatah.pk/products/shahi-meva-mixed-dry-fruits-216-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA ELACHI PLUS 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-elachi-plus-200gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN CLASSIC SWEET SAUNF 200 GM,Rs.425,https://alfatah.pk/products/maizban-classic-sweet-saunf-250-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,LIFE STYLE PUMPKIN SEEDS 250 GM,"Rs.1,795",https://alfatah.pk/products/life-style-pumpkin-seeds-250-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,RASILY SUPARI 48 PCS 72 GM,Rs.240,https://alfatah.pk/products/rasily-supari-48-pcs-72-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,LAREENO CHESTNUTS ORGANIC PEELED ROASTED 100 GM,"Rs.1,495",https://alfatah.pk/products/lareeno-chestnuts-organic-peeled-roasted-100-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,BLUE DIAMOND TOASTED ALMONDS NATURAL TIN 130 GM,"Rs.2,095",https://alfatah.pk/products/blue-diamond-toasted-almonds-natural-tin-130-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,BEST SWEET CHANA 200 GM,Rs.350,https://alfatah.pk/products/best-sweet-chana-200-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,LIFE STYLE BASIL SEED 250 GM,Rs.945,https://alfatah.pk/products/life-style-basil-seed-250-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,NUTRI ANMOL MIX PAN MASALA JAR 150 GM,Rs.260,https://alfatah.pk/products/nutri-anmol-mix-pan-masala-jar-150-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,BLUE DIAMOND ALMONDS HONEY ROASTED TIN 130 GM,"Rs.2,095",https://alfatah.pk/products/blue-diamond-almonds-honey-roasted-tin-130-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MARYAM DATES PLAIN 560 GM,"Rs.1,526Rs.1,795",https://alfatah.pk/products/maryam-dates-plain-560-gm,Dry Fruits & Nuts,,
