store,category,name,price,cleaned_category,product-link,image_url,standardized_unit,quantity,cleaned_name
al-fateh,dry_fruits_&_dates---fateh,NUTRI CANDY PAN MASALA JAR 150 GM,Rs.250,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-candy-pan-masala-jar-150-gm,,g,150.0,nutri candy pan masala jar
al-fateh,dry_fruits_&_dates---fateh,NUTRI TULSI MOUTH FRESH JAR 100 GM,Rs.445,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-tulsi-mouth-fresh-jar-100-gm,,g,100.0,nutri tulsi mouth fresh jar
al-fateh,dry_fruits_&_dates---fateh,NUTRI SONF SWEET JAR 150 GM,Rs.145,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-sonf-sweet-jar-150-gm,,g,150.0,nutri sonf sweet jar
al-fateh,dry_fruits_&_dates---fateh,NUTRI BOMBAY PAN MASALA -POUCH PACK 60 GM,Rs.295,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-bombay-pan-masala-pouch-pack-60-gm,,g,60.0,nutri bombay pan masala -pouch pack
al-fateh,dry_fruits_&_dates---fateh,NUTRI PAN PARAG GOTTA MASALA 150 GM,Rs.205,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-pan-parag-gotta-masala-150-gm,,g,150.0,nutri pan parag gotta masala
al-fateh,dry_fruits_&_dates---fateh,A ONE ELACHI MEVA MIX 200 GM,Rs.210,Dry Fruits & Nuts,https://alfatah.pk/products/a-one-elachi-meva-mix-200-gm,,g,200.0,a one elachi meva mix
al-fateh,dry_fruits_&_dates---fateh,NUTRI GREEN PAN MASALA JAR 150 GM,Rs.260,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-green-pan-masala-jar-150-gm,,g,150.0,nutri green pan masala jar
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN SWEET BEATLE STICK SAUNF 150 GM,Rs.425,Dry Fruits & Nuts,https://alfatah.pk/products/maizban-sweet-beatle-stick-saunf-150-gm,,g,150.0,maizban sweet beatle stick saunf
al-fateh,dry_fruits_&_dates---fateh,MARHABA MAZA DANA MOUTH FRESHENER 2 GM,Rs.120,Dry Fruits & Nuts,https://alfatah.pk/products/marhaba-maza-dana-mouth-freshener-2-gm,,g,2.0,marhaba maza dana mouth freshener
al-fateh,dry_fruits_&_dates---fateh,MADINA AMBER DATES 500 GM PACK,"Rs.2,295",Dry Fruits & Nuts,https://alfatah.pk/products/madina-amber-dates-500-gm-pack,,g,500.0,madina amber dates pack
al-fateh,dry_fruits_&_dates---fateh,A ONE SOOPER PAN MASALA 145 GM,Rs.210,Dry Fruits & Nuts,https://alfatah.pk/products/a-one-sooper-pan-masala-145-gm,,g,145.0,a one sooper pan masala
al-fateh,dry_fruits_&_dates---fateh,NUTRI MAHARAJA PAN MASALA JAR 100 GM,Rs.355,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-maharaja-pan-masala-jar-100-gm,,g,100.0,nutri maharaja pan masala jar
