store,name,product_link,price,category
Jalal Sons,Mogu Drink Pineapple 320Ml,https://jalalsons.com.pk/product/mogu-drink-pineapple-320ml-177226,Rs 364,Beverages
Jalal Sons,Nestle Peach Juice Bottle(1 L),https://jalalsons.com.pk/product/nestle-peach-juice-bottle-177257,Rs 359,Beverages
Jalal Sons,Shezan Fruit Drink Lychee,https://jalalsons.com.pk/product/shezan-fruit-drink-lychee-177319,Rs 108,Beverages
Jalal Sons,Shezan Fruit Punch Juice(1 L),https://jalalsons.com.pk/product/shezan-fruit-punch-juice-177323,Rs 204,Beverages
Jalal Sons,Aqua Coco Water(330 Ml),https://jalalsons.com.pk/product/aqua-coco-water-177168,Rs 594,Beverages
Jalal Sons,Mogu Drink Lychee 320Ml,https://jalalsons.com.pk/product/mogu-drink-lychee-320ml-177222,Rs 364,Beverages
Jalal Sons,Murree Brewerys LEMON MALT,https://jalalsons.com.pk/product/murree-brewerys-lemon-malt-177233,Rs 84,Beverages
Jalal Sons,Red Bull Sugar Free 250ML,https://jalalsons.com.pk/product/red-bull-sugar-free-250ml-177305,Rs 449,Beverages
Jalal Sons,Shezan Fruit Drink Mango,https://jalalsons.com.pk/product/shezan-fruit-drink-mango-177321,Rs 108,Beverages
Jalal Sons,Queens Juice(250 Ml),https://jalalsons.com.pk/product/queens-juice-177299,Rs 224,Beverages
Jalal Sons,Snickers Milk Shake(350 Ml),https://jalalsons.com.pk/product/snickers-milk-shake-177333,"Rs 1,498",Beverages
Jalal Sons,Shezan All Pure Mango 1L(1 L),https://jalalsons.com.pk/product/shezan-all-pure-mango-1l-177311,Rs 264,Beverages
Jalal Sons,Shezan Mango Juice(1 L),https://jalalsons.com.pk/product/shezan-mango-juice-177327,Rs 204,Beverages
Jalal Sons,Sprite 1.5L(1.5 L),https://jalalsons.com.pk/product/sprite-1-5l-177335,Rs 174,Beverages
Jalal Sons,7up Tin 250ML(250 Ml),https://jalalsons.com.pk/product/7up-tin-250ml-177166,Rs 99,Beverages
Jalal Sons,Cappy Pulpy Mango(350 Ml),https://jalalsons.com.pk/product/cappy-pulpy-mango-177172,Rs 120,Beverages
Jalal Sons,Nestle Red Anaar Juice 1Ltr(1 L),https://jalalsons.com.pk/product/nestle-red-anaar-juice-1ltr-177260,Rs 454,Beverages
Jalal Sons,Sprite 500ML(500 Ml),https://jalalsons.com.pk/product/sprite-500ml-177337,Rs 108,Beverages
Jalal Sons,Vienna Chik Talk Egg(24 G),https://jalalsons.com.pk/product/vienna-chik-talk-egg-177353,Rs 224,Beverages
Jalal Sons,7up Free Tin 250ML(250 Ml),https://jalalsons.com.pk/product/7up-free-tin-250ml-177165,Rs 99,Beverages
Jalal Sons,Cadbury Drinking Chocolate,https://jalalsons.com.pk/product/cadbury-drinking-chocolate-177171,"Rs 1,194",Beverages
Jalal Sons,Sprite Lemon 350ML(350 Ml),https://jalalsons.com.pk/product/sprite-lemon-350ml-177339,Rs 64,Beverages
Jalal Sons,7up Free 1.5 Ltr(1.5 L),https://jalalsons.com.pk/product/7up-free-1-5-ltr-177163,Rs 148,Beverages
Jalal Sons,Galaxy Milk Shake 350Ml(350 Ml),https://jalalsons.com.pk/product/galaxy-milk-shake-350ml-177200,"Rs 1,498",Beverages
Jalal Sons,Mogu Drink Mango 320Ml,https://jalalsons.com.pk/product/mogu-drink-mango-320ml-177223,Rs 364,Beverages
Jalal Sons,Nestle Peach Juice(200 Ml),https://jalalsons.com.pk/product/nestle-peach-juice-177256,Rs 69,Beverages
Jalal Sons,Slice Mango Juice(200 Ml),https://jalalsons.com.pk/product/slice-mango-juice-177331,Rs 50,Beverages
Jalal Sons,Sprite Lemon Mint 500ML,https://jalalsons.com.pk/product/sprite-lemon-mint-500ml-177341,Rs 108,Beverages
Jalal Sons,7up Diet 500ML(500 Ml),https://jalalsons.com.pk/product/7up-diet-500ml-177162,Rs 88,Beverages
